Exchange,UniqueNo,SchemeCode,RTASchemeCode,AMCSchemeCode,ISINNO,SchemeType,SchemePlan,MinimumPurchaseAmount,AdditionalPurchaseAmountMultiple,MaximumPurchaseAmount,DividendReinvestmentFlag,SIPFLAG,STPFLAG,SWPFlag,SwitchFLAG,SETTLEMENTTYPE,StartDate,ExitLoadFlag,ExitLoad,LockinPeriodFlag,LockinPeriod,ChannelPartnerCode
B,8590,1222A-DP,1222A,1222A,INF209KA1DQ1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,05-03-2014 00:00:00,N,0,N,0,B1222A
B,8589,1222B-GR,1222B,1222B,INF209KA1DP3,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,05-03-2014 00:00:00,N,0,N,0,B1222B
B,8591,1222C-DP,1222C,1222C,INF209KA1DR9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,05-03-2014 00:00:00,N,0,N,0,B1222C
B,8654,1223A-DP,1223A,1223A,INF209KA1DW9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,07-03-2014 00:00:00,N,0,N,0,B1223A
B,8653,1223B-GR,1223B,1223B,INF209KA1DV1,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,07-03-2014 00:00:00,N,0,N,0,B1223B
B,8655,1223C-DP,1223C,1223C,INF209KA1DX7,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,07-03-2014 00:00:00,N,0,N,0,B1223C
B,8593,1224A-DP,1224A,1224A,INF209KA1DK4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,05-03-2014 00:00:00,N,0,N,0,B1224A
B,8592,1224B-GR,1224B,1224B,INF209KA1DJ6,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,05-03-2014 00:00:00,N,0,N,0,B1224B
B,8594,1224C-DP,1224C,1224C,INF209KA1DL2,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,05-03-2014 00:00:00,N,0,N,0,B1224C
B,8866,1225A-DP,1225A,1225A,INF209KA1EC9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,11-03-2014 00:00:00,N,0,N,0,B1225A
B,8865,1225B-GR,1225B,1225B,INF209KA1EB1,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,11-03-2014 00:00:00,N,0,N,0,B1225B
B,8867,1225C-DP,1225C,1225C,INF209KA1ED7,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,11-03-2014 00:00:00,N,0,N,0,B1225C
B,8925,1226A-DP,1226A,1226A,INF209KA1EI6,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,13-03-2014 00:00:00,N,0,N,0,B1226A
B,8924,1226B-GR,1226B,1226B,INF209KA1EH8,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,13-03-2014 00:00:00,N,0,N,0,B1226B
B,8926,1226C-DP,1226C,1226C,INF209KA1EJ4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,13-03-2014 00:00:00,N,0,N,0,B1226C
B,8869,1227A-DP,1227A,1227A,INF209KA1EU1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,14-03-2014 00:00:00,N,0,N,0,B1227A
B,8868,1227B-GR,1227B,1227B,INF209KA1ET3,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,14-03-2014 00:00:00,N,0,N,0,B1227B
B,8870,1227C-DP,1227C,1227C,INF209KA1EV9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,14-03-2014 00:00:00,N,0,N,0,B1227C
B,8872,1228A-DP,1228A,1228A,INF209KA1EO4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,14-03-2014 00:00:00,N,0,N,0,B1228A
B,8871,1228B-GR,1228B,1228B,INF209KA1EN6,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,14-03-2014 00:00:00,N,0,N,0,B1228B
B,8873,1228C-DP,1228C,1228C,INF209KA1EP1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,14-03-2014 00:00:00,N,0,N,0,B1228C
B,9042,1230A-DP,1230A,1230A,INF209KA1FG7,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1230A
B,9041,1230B-GR,1230B,1230B,INF209KA1FF9,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1230B
B,9043,1230C-DP,1230C,1230C,INF209KA1FH5,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,20-02-2014 00:00:00,N,0,N,0,B1230C
B,8971,1231A-DP,1231A,1231A,INF209KA1FM5,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,21-03-2014 00:00:00,N,0,N,0,B1231A
B,8970,1231B-GR,1231B,1231B,INF209KA1FL7,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,21-03-2014 00:00:00,N,0,N,0,B1231B
B,8972,1231C-DP,1231C,1231C,INF209KA1FN3,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,21-03-2014 00:00:00,N,0,N,0,B1231C
B,9122,1232A-DP,1232A,1232A,INF209KA1FS2,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,25-03-2014 00:00:00,N,0,N,0,B1232A
B,9121,1232B-GR,1232B,1232B,INF209KA1FR4,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,25-03-2014 00:00:00,N,0,N,0,B1232B
B,9123,1232C-DP,1232C,1232C,INF209KA1FT0,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,25-03-2014 00:00:00,N,0,N,0,B1232C
B,9125,1233A-DP,1233A,1233A,INF209KA1FY0,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,26-03-2014 00:00:00,N,0,N,0,B1233A
